# Rime table
# coding: utf-8
#@/db_name	custom_phrase_double.txt
#@/db_type	tabledb
#
# 自定义短语
# 可为方案增加一些要置顶的词汇及短语，例如邮箱、手机号、常用短语等等。编码可以随便起，不限于拼音。
#
# 此文件，列出数千常用单字的自然码单辅编码，用于减少翻页，加快单字输入。
#
# 适用于双拼。全拼默认为 custom_phrase.txt ，且上面的 db_name 为 custom_phrase.txt
#
# 以 Tab 分割：词汇<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以只建议固定非完整拼音的编码，如果需求是置顶指定拼音的候选项，请参考方案中的 pin_cand_filter。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，如 Amazon 被纠错为「a ma zong 阿妈粽」，期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2024-03-12"
#
# 此行之后不能写注释

#噷	hm
#呣	m
#呒	m

η	aita
爫	aizitou
α	alpha
＆	and
＠	at
Ⅷ	ba
⑧	ba
％	baifenhao
©	banquan
⌒	banyuan
宀	baogaitou
勹	baozitou
≠	bdy
≯	bdy
β	beta
％	bfh
ª	biaozhia
∪	bingji
疒	bingzitou
髟	binzitou
～	blh
～	bolanghao
≯	budayu
≠	budengyu
≮	buxiaoyu
≮	bxy
廾	caotoudi
艹	caozitou
×	ch
÷	ch
×	cha
∝	chengbili
×	chenghao
÷	chuhao
⊥	chuizhi
×	cuo
√	dagou
｛	dakuohao
｝	dakuohao
卩	danerpang
亻	danrenpang
‘	danyinhao
’	danyinhao
礻	danyipang
▽	daosanjiao
▼	daosanjiao
＞	dayu
≥	dayudengyu
＞	dayuhao
◐	dbd
∶	dbh
の	de
Δ	deerta
δ	delta
Δ	delta
＝	dengyu
＝	dengyuhao
√	dg
，	dh
、	dh
☎	dianhua
☏	dianhua
℡	dianhua
｛	dkh
｝	dkh
，	douhao
°	du
√	dui
◐	duibidu
∶	duibihao
、	dunhao
#[㎎㎏㎜㎝㎞㎡㏄㏎㏑㏒㏕]	dwfh
